"Metric","Target","December 2018","January 2019","February 2019","February 2018","2019 to Date"
"Code Enforcement On-Time %",96.1,99.4,91.6,97.4,97.9,93
"Numer of Violations Issued Monthly",3372,4081,3298,2738,3833,2279
"% Missed Trash Cases Responded to On Time",80,90,89.6,92.2,94.8,89.4
"Monthly Overdue Street Light Outage Requests",84.3,70,116,67,41,61.3
