"Metric","Target","November 2018","December 2018","January 2019","January 2018","2019 Year to Date"
"Average Daily Overtime Hours",84.4,104.7,74,74.4,72.2,59
"Average Daily Overtime Paid",3539.6,4302.7,3156.1,3159.9,3018.3,2526.2
