"Metric","Three Month Average","December 2018","January 2019","February 2019","February 2018","2019 Year to Date"
"Pedestrian Crash Fatalities",0,0,0,0,1,0
"Average Daily Part 1 Crimes",39.7,44.3,39.4,35.5,41.1,36.5
"Average Daily Homicides",0.1,0.1,0.1,0.1,0.1,0.1
"Average Daily Shootings",0.7,0.8,0.8,0.5,0.6,0.6
"Average Daily Stabbings",1.2,1.2,1,1.3,1.5,1.2
"Average Daily Overtime Hours",3276,3243.91,3528.94,3055.1,3272.58,3292.02
"Average Daily Overtime Paid ($)",201840,202123.3,219314.5,184082.2,193842.9,201698.4
"Average Daily Overtime Hours in Court",329,306.85,356.21,323.83,436.42,340.02
"Average Daily Court Related Overtime Paid ($)",20951,19456.1,22690.7,20704.9,26921,21697.8
