"Metric","Target","December 2018","January 2019","February 2019","February 2018","2019 Year to Date"
"Median Response Time: Priority 1",7.3,7.6,7.2,7.1,7.1,7.2
"Median Response Time: Priority 2",10.2,10.4,10.2,9.9,10.2,10.2
"Median Response Time: Priority 3",9.7,9.9,9.7,9.6,10.2,9.7
