"Metric","Target","December 2018","January 2019","February 2019","February 2018","2019 Year to Date"
"% graffiti removal on time",80,100,100,50,52,80.6
"Average Daily Overtime Paid",255573.5,241347,279809.3,245564.2,268015.2,262686.8
"Average Daily Overtime Hours",3801.8,3740.7,4028.9,3635.7,4020,3832.3
