"Metric","Target","December 2018","January 2019","February 2019","February 2018","2019 Year to Date"
"% Construction Hours for Boston Residents",50,27.5,26.3,25.9,27.1,26.2
"% Construction Hours for People of Color",25,33.9,33.7,33.4,33.7,33.6
"% Construction Hours for Women",10,6,5.9,6,5.4,5.9
