"Metric","Target","December 2018","January 2019","February 2019","February 2018","2019 Year to Date"
"% Work Orders Closed on Time",84.6,80.2,88.1,85.5,84.9,86.8
"Average Work Order Days Open",15.3,6.6,4.1,35.3,4.6,18.1
"Work Orders Closed",937,777,1041,992,615,2275
