"Metric","Target","December 2018","January 2019","February 2019","February 2018","2019 to Date"
"% Engineering Requests Closed on Time",86.6,85.8,84.9,89.1,85.6,87
"Average Collision Fatality Rate",0,0,0,0,0,0
"Average Daily Overtime Paid",3451,3505,3361,3487,2712,3424
"Average Daily Overtime Hours",144,74,65,293,57,69
